fid,OBJECTID,MPDMR_NO,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_ORBR,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP_,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL_,Shape_Leng,Shape_Area
1083374,1083374,"37608063","183685.67","453494.51","1","11",35.899999999999999,9.199999999999999,246.099999999999990,"2","07","05","2","20","01","02","L102","B©ü",1283.366394041698400,23906.921936889063000
1083376,1083376,"37608063","183785.67","453614.51","3","31",57.799999999999997,12.500000000000000,310.899999999999980,"2","","","","","","82","L983","R",119.097537300303530,817.908979386650460
1083377,1083377,"37608063","183800.67","453499.51","3","31",62.899999999999999,13.100000000000000,203.000000000000000,"2","","","","","","82","L983","R",134.104922239346710,966.941040332866120
1083378,1083378,"37608063","183900.67","453354.51","3","31",32.000000000000000,15.800000000000001,92.000000000000000,"2","07","05","2","20","01","02","L102","B©ü",1836.287303617489400,33454.762881179391000
1083379,1083379,"37608063","183930.67","453249.51","3","31",27.699999999999999,12.900000000000000,92.799999999999997,"2","","","","","","82","L983","R",139.858499988155810,1171.342687718324700
1086642,1086642,"37608063","182400","453575","1","11",41.000000000000000,19.100000000000001,270.199999999999990,"2","07","05","2","20","01","02","L102","B©ü",782.915747780999820,16916.005956682624000
1087247,1087247,"37608063","182645.51","454266.33","1","11",34.500000000000000,16.699999999999999,225.000000000000000,"2","","","","","","82","L983","R",112.181548865520140,549.079672560977090
1087248,1087248,"37608063","182832.26","454231","1","11",55.500000000000000,23.800000000000001,351.899999999999980,"2","07","05","2","20","01","02","L102","B©ü",624.622970953646130,7403.265039951334100
1087249,1087249,"37608063","182809.84","454353.42","1","11",30.600000000000001,40.200000000000003,7.700000000000000,"2","07","05","2","20","01","02","L102","B©ü",381.869906209034470,3321.943015839223800
1087250,1087250,"37608063","183959.39","453651","3","31",28.199999999999999,23.899999999999999,343.600000000000020,"2","07","05","2","20","01","02","L102","B©ü",124.232659376760140,453.201296788084850
